chrom,start,end,length,mean_total_read_count,mean_methylation_level,num_cpg_sites,num_cpg_sites_per_bp,sample
chr1,11698580,11700970,2390,41.58,0.8345,50,0.02092050209205021,200081
chr1,16536488,16563167,26679,98.29166666666667,0.7946145833333326,384,0.014393343078826042,200081
chr1,16566537,16566839,302,64.66666666666667,0.8246666666666668,3,0.009933774834437087,200081
chr1,151755205,151755754,549,38.75,0.93425,4,0.007285974499089253,200081
chr1,195863905,195866502,2597,40.61538461538461,0.7896923076923077,13,0.0050057758952637655,200081
chr2,9047842,9050568,2726,33.853658536585364,0.9287804878048782,41,0.01504035216434336,200081
chr2,46241391,46242316,925,46.714285714285715,0.8504285714285714,7,0.0075675675675675675,200081
chr2,111442528,111447313,4785,48.13559322033898,0.7988135593220346,59,0.01233019853709509,200081
chr2,147887757,147892070,4313,32.86842105263158,0.9125000000000001,38,0.00881057268722467,200081
chr2,157714152,157715291,1139,26.6,0.8277999999999999,5,0.004389815627743635,200081
chr2,216328813,216328820,7,41.0,0.527,1,0.14285714285714285,200081
chr2,231037600,231041139,3539,34.57988165680474,0.20411834319526626,169,0.04775360271263069,200081
chr3,2116319,2116644,325,28.25,0.917,4,0.012307692307692308,200081
chr3,41948366,41948417,51,27.0,0.6795,2,0.0392156862745098,200081
chr3,72699315,72701676,2361,32.08695652173913,0.8320869565217393,23,0.009741634900465904,200081
chr3,78332061,78332362,301,39.0,0.6345000000000001,2,0.006644518272425249,200081
chr3,113255793,113256191,398,37.5,0.928,2,0.005025125628140704,200081
chr3,130525367,130536530,11163,28.27536231884058,0.8774782608695652,69,0.006181134103735555,200081
chr3,170374268,170376532,2264,23.294117647058822,0.9387058823529411,17,0.007508833922261484,200081
chr3,181709989,181730769,20780,29.83743842364532,0.13942200328407248,609,0.029307025986525504,200081
chr3,196879669,196883748,4079,28.046511627906977,0.9002325581395347,43,0.01054179946065212,200081
chr4,4784873,4785320,447,57.0,0.873857142857143,7,0.015659955257270694,200081
chr4,39424774,39424788,14,36.0,0.7290000000000001,2,0.14285714285714285,200081
chr4,83239125,83240199,1074,24.941176470588236,0.946529411764706,17,0.015828677839851025,200081
chr4,166131474,166132147,673,41.5,0.8745,2,0.0029717682020802376,200081
